
 --- Table  1: Summary of nuclide data: 

 Data for 83 nuclides included in calculation:

 - 83 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 2065 reaction channels
 - 2210 special reactions
 - 224 transmutation reactions
 - 12 transmutation branch reactions
 - 10 decay reactions
 - No decay branch reactions
 - 3 lost transmutation paths

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data
            D - nuclide is used to provide 0K data for DBRC

   42   0  26057.05c     05c  TRA   26  57 0   56.99996     0.0       stable  I-----T------T-R-----  iron 57 (Fe-57)
   43   0  29063.05c     05c  TRA   29  63 0   62.99990  2742.1       stable  I-----T--------R-----  copper 63 (Cu-63)
   44   0  29063.05c     05c  TRA   29  63 0   62.99990     0.0       stable  I-----T--------R-----  copper 63 (Cu-63)
   45   0  39089.05c     05c  TRA   39  89 0   88.99985    46.8       stable  I-----T-I------R-----  yttrium 89 (Y-89)
   46   0  39089.05c     05c  TRA   39  89 0   88.99985     0.0       stable  I-----T-I----T-R-----  yttrium 89 (Y-89)
   47   0  40090.05c     05c  TRA   40  90 0   89.99994     0.0       stable  IB----T-----UT-R-----  zirconium 90 (Zr-90)
   48   0  40090.05c     05c  TRA   40  90 0   89.99994   236.1       stable  I-----T-----U--R-----  zirconium 90 (Zr-90)
   49   0  40090.05c     05c  TRA   40  90 0   89.99994    46.8       stable  I-----T-----U--R-----  zirconium 90 (Zr-90)
   50   0  40090.05c     05c  TRA   40  90 0   89.99994  2736.7       stable  I-----T-----U--R-----  zirconium 90 (Zr-90)
   51   0  40091.05c     05c  TRA   40  91 0   90.99993     0.0       stable  IB----T-----UT-R-----  zirconium 91 (Zr-91)
   52   0  40091.05c     05c  TRA   40  91 0   90.99993   236.1       stable  I-----T-----U--R-----  zirconium 91 (Zr-91)
   53   0  40091.05c     05c  TRA   40  91 0   90.99993    46.8       stable  I-----T-----U--R-----  zirconium 91 (Zr-91)
   54   0  40091.05c     05c  TRA   40  91 0   90.99993  2736.7       stable  I-----T-----U--R-----  zirconium 91 (Zr-91)
   55   0  40092.05c     05c  TRA   40  92 0   91.99992     0.0       stable  IB----T-----UT-R-----  zirconium 92 (Zr-92)
   56   0  40092.05c     05c  TRA   40  92 0   91.99992   236.1       stable  I-----T-----U--R-----  zirconium 92 (Zr-92)
   57   0  40092.05c     05c  TRA   40  92 0   91.99992    46.8       stable  I-----T-----U--R-----  zirconium 92 (Zr-92)
   58   0  40092.05c     05c  TRA   40  92 0   91.99992  2736.7       stable  I-----T-----U--R-----  zirconium 92 (Zr-92)
   59   0  40094.05c     05c  TRA   40  94 0   93.90630     0.0       stable  IB----T-----UT-R-----  zirconium 94 (Zr-94)
   60   0  40094.05c     05c  TRA   40  94 0   93.90630   236.1       stable  I-----T-----U--R-----  zirconium 94 (Zr-94)
   61   0  40094.05c     05c  TRA   40  94 0   93.90630    46.8       stable  I-----T-----U--R-----  zirconium 94 (Zr-94)
   62   0  40094.05c     05c  TRA   40  94 0   93.90630  2736.7       stable  I-----T-----U--R-----  zirconium 94 (Zr-94)
   63   0  40096.05c     05c  TRA   40  96 0   95.90830     0.0       stable  IB----T-----UT-R-----  zirconium 96 (Zr-96)
   64   0  40096.05c     05c  TRA   40  96 0   95.90830   236.1       stable  I-----T-----U--R-----  zirconium 96 (Zr-96)
   65   0  40096.05c     05c  TRA   40  96 0   95.90830    46.8       stable  I-----T-----U--R-----  zirconium 96 (Zr-96)
   66   0  40096.05c     05c  TRA   40  96 0   95.90830  2736.7       stable  I-----T-----U--R-----  zirconium 96 (Zr-96)
   67   0  50116.05c     05c  TRA   50 116 0  115.99949    46.8       stable  I-----T-I---U--R-----  tin 116 (Sn-116)
   68   0  50116.05c     05c  TRA   50 116 0  115.99949     0.0       stable  I-----T-I---UT-R-----  tin 116 (Sn-116)
   69   0  50117.05c     05c  TRA   50 117 0  117.00009    46.8       stable  I-----T-----U--R-----  tin 117 (Sn-117)
   70   0  50117.05c     05c  TRA   50 117 0  117.00009     0.0       stable  I-----T-----UT-R-----  tin 117 (Sn-117)
   71   0  50118.05c     05c  TRA   50 118 0  117.99967    46.8       stable  I-----T-I---U--R-----  tin 118 (Sn-118)
   72   0  50118.05c     05c  TRA   50 118 0  117.99967     0.0       stable  I-----T-I---UT-R-----  tin 118 (Sn-118)
   73   0  50119.05c     05c  TRA   50 119 0  119.00027    46.8       stable  I-----T-----U--R-----  tin 119 (Sn-119)
   74   0  50119.05c     05c  TRA   50 119 0  119.00027     0.0       stable  I-----T-----UT-R-----  tin 119 (Sn-119)
   75   0  50120.05c     05c  TRA   50 120 0  119.99985    46.8       stable  I-----T-I---U--R-----  tin 120 (Sn-120)
   76   0  50120.05c     05c  TRA   50 120 0  119.99985     0.0       stable  I-----T-I---UT-R-----  tin 120 (Sn-120)
   77   0  50122.05c     05c  TRA   50 122 0  122.00004    46.8       stable  I-----T-I------R-----  tin 122 (Sn-122)
   78   0  50122.05c     05c  TRA   50 122 0  122.00004     0.0       stable  I-----T-I----T-R-----  tin 122 (Sn-122)
   79   0  50124.05c     05c  TRA   50 124 0  123.90541    46.8       stable  I-----T-I------R-----  tin 124 (Sn-124)
   80   0  50124.05c     05c  TRA   50 124 0  123.90541     0.0       stable  I-----T-I----T-R-----  tin 124 (Sn-124)
   81   0  90232.05c     05c  TRA   90 232 0  232.03832     0.0  1.56331E-18  IB----T--F-DUT-RN----  thorium 232 (Th-232)
   82   0  92235.05c     05c  TRA   92 235 0  235.04414     0.0  3.11997E-17  IB----T--F-DUT-RN----  uranium 235 (U-235)
   83   0  92238.05c     05c  TRA   92 238 0  238.05097     0.0  4.91597E-18  IB----T--F-DUT-RN----  uranium 238 (U-238)

 --- Table  2: Reaction and decay data: 

 Nuclide    1 / 83 : 1001.05c -- hydrogen (H-1)

 Pointers                     : 534656 120400
 Primary type                 : Transport
 Nuclide ZAI                  : 10010
 Library ID                   : 05c
 Cross section data file      : /storage/c-montecarlo1/rsicc/local/endf-80x/Lib80x/Lib80x/H/1001.805nc
 Atomic weight (AW)           : 1.00001
 Atomic weight ratio (AWR)    : 0.99917
 Temperature                  : 0.0 Kelvin
 XS temperature               : 0.0 Kelvin
 Minimum and maximum energy   : 1.00000E-11 2.00000E+01
 Half-life                    : stable
 Specific ingestion toxicity  : N/A
 Specific inhalation toxicity : N/A

 - Nuclide is not involved in burnup calculation
 - Nuclide has neutron transport data
 - Nuclide has no photon transport data
 - Nuclide has no S(a,b) data
 - Nuclide has no isomeric branching data
 - Nuclide is not fissile
 - Nuclide is not a delayed neutron precursor
 - Nuclide has no delayed neutron data
 - Nuclide has no ures ptable data
 - Nuclide temperature is not adjusted with TMS
 - Nuclide has no dosimetry data
 - Nuclide has decay data
 - Nuclide has no supplementary transmutation cross section data
 - Nuclide has no NFY data
 - Nuclide has no SFY data

 - 2 reaction channels
 - 3 special reactions
 - No transmutation reactions
 - No transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - No transmutation paths

 2 reactions channel:

   1    MT =      2  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  frac = 1.00000E+00  : elastic scattering
   2    MT =    102  Q =  2.22465E+00 MeV  Emin = 1.00000E-11 MeV  frac = 1.00000E+00  : (n,gamma)

 3 special reactions:

   1    MT =    301  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  : total heat production
   2    MT =    204  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  : total deuteron production
   3    MT =    444  Q =  0.00000E+00 MeV  Emin = 1.00000E-11 MeV  : damage-energy production

 Nuclide    2 / 83 : 1001.05c -- hydrogen (H-1)

 Pointers                     : 561180 98739651
 Primary type                 : Transport
